,avg. total time,avg. plan time,avg. MEHR time,avg. expanded states,avg. backups,Num of Candidates,Min. non-acceptability,Num of Cands w/ Min non-acceptability,config.,CarlaLife,HalLife,ToSteal,time
0,5834014729,45410,2429,243,2472,8,0.10878788668198414,1,HalCarlaEqual,-1.1007,-8.9312,N/A,N/A
1,5126434911,43756,2188,243,2472,8,0.10878788668198414,1,HalCarlaEqual,-1.1007,-8.9312,N/A,N/A
2,5286534252,51441,8345,243,2472,8,0.10878788668198414,1,HalCarlaEqual,-1.1007,-8.9312,N/A,N/A
3,5328026437,46909,2267,243,2472,8,0.10878788668198414,1,HalCarlaEqual,-1.1007,-8.9312,N/A,N/A
4,5562891880,44058,2422,243,2472,8,0.10878788668198414,1,HalCarlaEqual,-1.1007,-8.9312,N/A,N/A
5,5369297343,43272,2391,243,2472,8,0.0,2,HalHigherCarla,0,-10.2112,N/A,N/A
6,5695832826,43252,2132,243,2472,8,0.0,2,HalHigherCarla,0,-10.2112,N/A,N/A
7,5839045924,43392,2140,243,2472,8,0.0,2,HalHigherCarla,0,-10.2112,N/A,N/A
8,5074705098,43335,2166,243,2472,8,0.0,2,HalHigherCarla,0,-10.2112,N/A,N/A
9,49729,45306,3055,243,2472,8,0.0,2,HalHigherCarla,0,-10.2112,N/A,N/A
10,5873500127,44713,2743,271,2862,10,0.0,1,HalCarlaHigher,-1.1007,-8.9312,N/A,N/A
11,4838529177,41849,2547,271,2862,10,0.0,1,HalCarlaHigher,-1.1007,-8.9312,N/A,N/A
12,5838869356,41557,2528,271,2862,10,0.0,1,HalCarlaHigher,-1.1007,-8.9312,N/A,N/A
13,4830201831,41925,3521,271,2862,10,0.0,1,HalCarlaHigher,-1.1007,-8.9312,N/A,N/A
14,5856344012,43663,3015,271,2862,10,0.0,1,HalCarlaHigher,-1.1007,-8.9312,N/A,N/A
15,5386707714,61695,2648,243,2472,8,0.10878788668198414,1,HalCarlaNoSteal,-1.1007,-8.9312,T,N/A
16,5012312870,58303,3020,243,2472,8,0.10878788668198414,1,HalCarlaNoSteal,-1.1007,-8.9312,T,N/A
17,5153453508,61689,3533,243,2472,8,0.10878788668198414,1,HalCarlaNoSteal,-1.1007,-8.9312,T,N/A
18,5588398965,57683,2520,243,2472,8,0.10878788668198414,1,HalCarlaNoSteal,-1.1007,-8.9312,T,N/A
19,5008537278,57405,2404,243,2472,8,0.10878788668198414,1,HalCarlaNoSteal,-1.1007,-8.9312,T,N/A
20,5709230679,53834,1742,223,2269,3,0.0,2,CostCarlaSteal,0,N/A,F,-20
21,5449761054,53668,1706,223,2269,3,0.0,2,CostCarlaSteal,0,N/A,F,-20
22,5818180110,53924,1734,223,2269,3,0.0,2,CostCarlaSteal,0,N/A,F,-20
23,5206257239,54900,1795,223,2269,3,0.0,2,CostCarlaSteal,0,N/A,F,-20
24,5117350180,58646,3101,223,2269,3,0.0,2,CostCarlaSteal,0,N/A,F,-20
25,4848573904,56622,2428,243,2472,8,0.10878788668198414,1,HalCarlaNoStealComp,-1.1007,-8.9312,T,N/A
26,5387072226,56930,2403,243,2472,8,0.10878788668198414,1,HalCarlaNoStealComp,-1.1007,-8.9312,T,N/A
27,5377935777,57564,3278,243,2472,8,0.10878788668198414,1,HalCarlaNoStealComp,-1.1007,-8.9312,T,N/A
28,5822127630,56323,2431,243,2472,8,0.10878788668198414,1,HalCarlaNoStealComp,-1.1007,-8.9312,T,N/A
29,5776379106,56291,2561,243,2472,8,0.10878788668198414,1,HalCarlaNoStealComp,-1.1007,-8.9312,T,N/A
30,4888794622,42435,1511,223,2269,3,0.0,2,CostCarla,0,N/A,N/A,-20
31,5586558362,48212,2177,223,2269,3,0.0,2,CostCarla,0,N/A,N/A,-20
32,5551260759,41273,1562,223,2269,3,0.0,2,CostCarla,0,N/A,N/A,-20
33,5492535403,41391,1671,223,2269,3,0.0,2,CostCarla,0,N/A,N/A,-20
34,5365906755,41720,1546,223,2269,3,0.0,2,CostCarla,0,N/A,N/A,-20
