,conf_rep,env_rep,theories,total_time,plan_time,mehr_time,sol_time,out_time,expanded_states,average_histories,max_histories,min_histories,total_states,backups,iterations,horizon,min_non_accept,law,utility
0,0,0,"['0', 'utility', '0', 'law']",54,47,0,5,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
1,0,1,"['0', 'utility', '0', 'law']",49,40,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
2,0,2,"['0', 'utility', '0', 'law']",49,40,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
3,0,0,"['0', 'utility', '0', 'law']",269,202,9,39,19,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
4,0,1,"['0', 'utility', '0', 'law']",269,204,8,38,19,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
5,0,2,"['0', 'utility', '0', 'law']",269,204,9,35,21,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
6,0,0,"['0', 'utility', '0', 'law']",877,711,44,74,48,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
7,0,1,"['0', 'utility', '0', 'law']",901,740,45,74,42,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
8,0,2,"['0', 'utility', '0', 'law']",883,723,42,73,45,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
9,0,0,"['0', 'utility', '0', 'law']",3619,3501,14,80,24,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
10,0,1,"['0', 'utility', '0', 'law']",3419,3299,13,81,26,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
11,0,2,"['0', 'utility', '0', 'law']",3319,3198,14,81,26,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
12,0,0,"['0', 'utility', '0', 'law']",56740,17915,37523,640,662,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
13,0,1,"['0', 'utility', '0', 'law']",58059,18683,38047,648,681,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
14,0,2,"['0', 'utility', '0', 'law']",57764,18647,37736,696,685,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
15,1,0,"['0', 'utility', '0', 'law']",48,40,0,6,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
16,1,1,"['0', 'utility', '0', 'law']",50,41,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
17,1,2,"['0', 'utility', '0', 'law']",50,40,0,7,3,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
18,1,0,"['0', 'utility', '0', 'law']",262,199,9,34,20,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
19,1,1,"['0', 'utility', '0', 'law']",265,201,9,38,17,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
20,1,2,"['0', 'utility', '0', 'law']",254,193,9,33,19,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
21,1,0,"['0', 'utility', '0', 'law']",880,714,44,75,47,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
22,1,1,"['0', 'utility', '0', 'law']",847,686,43,74,44,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
23,1,2,"['0', 'utility', '0', 'law']",849,690,43,72,44,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
24,1,0,"['0', 'utility', '0', 'law']",3430,3305,15,82,28,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
25,1,1,"['0', 'utility', '0', 'law']",3977,3858,15,80,24,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
26,1,2,"['0', 'utility', '0', 'law']",3340,3219,13,81,27,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
27,1,0,"['0', 'utility', '0', 'law']",61234,19495,39411,709,1619,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
28,1,1,"['0', 'utility', '0', 'law']",64153,23012,39789,662,690,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
29,1,2,"['0', 'utility', '0', 'law']",61109,20547,39202,671,689,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
30,2,0,"['0', 'utility', '0', 'law']",49,40,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
31,2,1,"['0', 'utility', '0', 'law']",50,41,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
32,2,2,"['0', 'utility', '0', 'law']",49,41,0,6,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
33,2,0,"['0', 'utility', '0', 'law']",322,249,8,45,20,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
34,2,1,"['0', 'utility', '0', 'law']",263,201,8,34,20,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
35,2,2,"['0', 'utility', '0', 'law']",270,205,8,36,21,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
36,2,0,"['0', 'utility', '0', 'law']",919,708,92,72,47,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
37,2,1,"['0', 'utility', '0', 'law']",847,690,42,72,43,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
38,2,2,"['0', 'utility', '0', 'law']",919,760,43,73,43,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
39,2,0,"['0', 'utility', '0', 'law']",3312,3192,13,80,27,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
40,2,1,"['0', 'utility', '0', 'law']",3245,3126,13,80,26,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
41,2,2,"['0', 'utility', '0', 'law']",3400,3279,13,81,27,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
42,2,0,"['0', 'utility', '0', 'law']",57444,18719,37410,629,686,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
43,2,1,"['0', 'utility', '0', 'law']",59452,20285,37767,684,716,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
44,2,2,"['0', 'utility', '0', 'law']",57685,18875,37502,640,668,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
45,3,0,"['0', 'utility', '0', 'law']",52,43,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
46,3,1,"['0', 'utility', '0', 'law']",48,39,0,7,2,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
47,3,2,"['0', 'utility', '0', 'law']",50,40,0,7,3,5,4.0,4.0,0.0,21,9,3,2,0.0,N/A,N/A
48,3,0,"['0', 'utility', '0', 'law']",266,202,9,34,21,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
49,3,1,"['0', 'utility', '0', 'law']",262,200,9,34,19,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
50,3,2,"['0', 'utility', '0', 'law']",264,201,9,34,20,19,8.0,8.0,0.0,85,43,7,3,0.0,N/A,N/A
51,3,0,"['0', 'utility', '0', 'law']",878,716,42,76,44,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
52,3,1,"['0', 'utility', '0', 'law']",880,718,43,75,44,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
53,3,2,"['0', 'utility', '0', 'law']",849,690,43,73,43,55,16.0,16.0,0.0,341,125,11,4,0.0,N/A,N/A
54,3,0,"['0', 'utility', '0', 'law']",3392,3270,13,82,27,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
55,3,1,"['0', 'utility', '0', 'law']",3291,3168,15,80,28,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
56,3,2,"['0', 'utility', '0', 'law']",3328,3208,13,80,27,115,32.0,32.0,0.0,1365,342,18,5,0.0,N/A,N/A
57,3,0,"['0', 'utility', '0', 'law']",59918,20446,38111,642,719,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
58,3,1,"['0', 'utility', '0', 'law']",57852,19069,37436,672,675,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
59,3,2,"['0', 'utility', '0', 'law']",56632,18273,37069,634,656,395,64.0,64.0,0.0,5461,1006,30,6,0.0,N/A,N/A
